                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.90222,                 1.2535,                 1.4321,                0.73371,                0.83802,                0.87711,                0.75888,                0.59927,                0.96309,                 1.1675,              0.0004456,              0.0004456,              0.0004456
                     59,                0.83138,                 1.1489,                 1.3785,                0.80829,                0.74662,                0.86911,                0.73575,                0.63203,                0.89675,                 1.1855,              0.0004357,              0.0004357,              0.0004357
                     60,                0.87343,                 1.1812,                 1.3921,                0.70956,                 0.7898,                0.82921,                0.70176,                0.62153,                0.96387,                 1.2013,              0.0004258,              0.0004258,              0.0004258
                     61,                0.84204,                 1.1505,                 1.3903,                0.76333,                0.81883,                0.88659,                0.75675,                0.64908,                0.89876,                 1.2159,              0.0004159,              0.0004159,              0.0004159
                     62,                0.83444,                 1.1248,                  1.372,                0.76135,                 0.8176,                0.87066,                0.74251,                0.60025,                0.87821,                 1.1749,               0.000406,               0.000406,               0.000406
                     63,                 0.8471,                 1.1323,                 1.3959,                 0.8071,                0.79015,                0.88117,                0.77303,                0.54772,                0.83441,                 1.1347,              0.0003961,              0.0003961,              0.0003961
                     64,                0.82235,                 1.0785,                 1.3698,                0.77193,                0.86014,                0.88868,                0.76773,                0.57294,                0.84701,                 1.1503,              0.0003862,              0.0003862,              0.0003862
                     65,                0.80586,                 1.0668,                 1.3429,                0.84885,                0.78704,                 0.9027,                0.77712,                0.60354,                0.80233,                 1.1571,              0.0003763,              0.0003763,              0.0003763
                     66,                0.79601,                 1.0627,                 1.3371,                0.79003,                0.80527,                0.89621,                 0.7753,                0.58711,                0.86812,                 1.1795,              0.0003664,              0.0003664,              0.0003664
                     67,                0.79562,                 1.0478,                 1.3434,                 0.8474,                0.80432,                0.91499,                0.79487,                0.58037,                0.78201,                 1.1454,              0.0003565,              0.0003565,              0.0003565
                     68,                0.78359,                 1.0575,                 1.3338,                0.79017,                0.83983,                 0.8727,                0.76673,                 0.5402,                0.82795,                 1.1275,              0.0003466,              0.0003466,              0.0003466
                     69,                0.79134,                 1.0361,                 1.3226,                 0.8151,                 0.8147,                0.88363,                0.76499,                0.62963,                0.80168,                  1.193,              0.0003367,              0.0003367,              0.0003367
                     70,                0.77954,                 1.0126,                 1.3348,                0.82089,                 0.8194,                0.90607,                0.78641,                0.60852,                0.80681,                 1.1597,              0.0003268,              0.0003268,              0.0003268
                     71,                0.80178,                  1.039,                 1.3486,                 0.8378,                0.83543,                 0.9094,                0.78646,                0.57318,                0.77442,                 1.1566,              0.0003169,              0.0003169,              0.0003169
                     72,                0.76627,                0.98323,                  1.321,                0.81394,                0.79426,                0.86779,                0.75784,                 0.5796,                0.90707,                 1.1459,               0.000307,               0.000307,               0.000307
                     73,                0.76158,                0.97582,                 1.3169,                0.82033,                 0.8502,                0.89388,                0.77933,                0.59229,                0.77055,                 1.1636,              0.0002971,              0.0002971,              0.0002971
                     74,                0.77145,                  0.963,                 1.3211,                0.84562,                0.81995,                0.91148,                0.79361,                0.61733,                0.77244,                 1.1769,              0.0002872,              0.0002872,              0.0002872
                     75,                0.76472,                 0.9398,                 1.3169,                0.83599,                0.84302,                0.90567,                0.79292,                0.54862,                0.72818,                 1.1276,              0.0002773,              0.0002773,              0.0002773
